longitude,latitude
17.1485,50.4239
17.1485,50.4239
17.1960,50.4166
17.2435,50.4093
17.2909,50.4020
17.2909,50.4020
17.3384,50.3946
17.3858,50.3873
17.4332,50.3799
17.4332,50.3799
17.4806,50.3724
17.5280,50.3650
17.5754,50.3576
17.5754,50.3576
17.6227,50.3501
17.6700,50.3426
17.7174,50.3351
17.7174,50.3351
17.7647,50.3275
17.8120,50.3199
17.8593,50.3124
17.8593,50.3124
17.9066,50.3047
17.9538,50.2971
18.0010,50.2895
18.0010,50.2895
18.0482,50.2818
18.0954,50.2741
18.0954,50.2741
18.1426,50.2664
18.1898,50.2587
18.2369,50.2509
18.2369,50.2509
18.2841,50.2432
18.3312,50.2354
18.3783,50.2276
18.3783,50.2276
18.4253,50.2197
18.4724,50.2119
18.5195,50.2040
18.5195,50.2040
18.5665,50.1961
18.6136,50.1882
18.6606,50.1802
18.6606,50.1802
18.7075,50.1723
18.7545,50.1643
18.8014,50.1563
18.8014,50.1563
18.8484,50.1483
18.8953,50.1402
18.9422,50.1322
18.9422,50.1322
18.9891,50.1241
19.0360,50.1160
19.0360,50.1160
19.0828,50.1079
19.1297,50.0997
19.1765,50.0916
19.1765,50.0916
19.2232,50.0834
19.2700,50.0752
19.3168,50.0670
19.3168,50.0670
19.3635,50.0587
19.4102,50.0504
19.4570,50.0422
19.4570,50.0422
19.5037,50.0338
19.5504,50.0255
19.5970,50.0172
19.5970,50.0172
19.6437,50.0088
19.6904,50.0004
19.7370,49.9920
19.7370,49.9920
19.7836,49.9836
19.8302,49.9751
19.8767,49.9666
19.8767,49.9666
19.9233,49.9581
19.9698,49.9496
19.9698,49.9496
20.0163,49.9411
20.0628,49.9325
20.1093,49.9240
20.1093,49.9240
20.1557,49.9154
20.2022,49.9068
20.2486,49.8981
20.2486,49.8981
20.2951,49.8895
20.3414,49.8808
20.3878,49.8721
20.3878,49.8721
20.4342,49.8634
20.4806,49.8546
20.5270,49.8459
20.5270,49.8459
20.5733,49.8371
20.6196,49.8283
20.6658,49.8195
20.6658,49.8195
20.7121,49.8107
20.7583,49.8018
20.7583,49.8018
20.8045,49.7929
20.8507,49.7840
20.8969,49.7751
20.8969,49.7751
20.9431,49.7662
20.9892,49.7572
21.0354,49.7482
21.0354,49.7482
21.0815,49.7392
21.1276,49.7302
21.1737,49.7212
21.1737,49.7212
21.2198,49.7121
21.2659,49.7030
21.3119,49.6939
21.3119,49.6939
21.3578,49.6848
21.4038,49.6757
21.4498,49.6665
21.4498,49.6665
21.4958,49.6573
21.5417,49.6481
21.5876,49.6389
21.5876,49.6389
21.6335,49.6297
21.6794,49.6204
21.6794,49.6204
21.7252,49.6112
21.7710,49.6019
21.8168,49.5926
21.8168,49.5926
21.8626,49.5832
21.9084,49.5739
21.9542,49.5645
21.9542,49.5645
21.9999,49.5551
22.0457,49.5457
22.0914,49.5363
22.0914,49.5363
22.1370,49.5268
22.1827,49.5173
22.2284,49.5078
22.2284,49.5078
22.2740,49.4983
22.3196,49.4888
22.3652,49.4792
22.3652,49.4792
22.4108,49.4697
22.4564,49.4601
22.4564,49.4601
22.5019,49.4505
22.5474,49.4408
22.5929,49.4312
22.5929,49.4312
22.6384,49.4215
22.6838,49.4118
22.7293,49.4021
22.7293,49.4021
22.7747,49.3924
22.8201,49.3826
22.8655,49.3729
22.8655,49.3729
22.9109,49.3631
22.9562,49.3533
23.0016,49.3435
23.0016,49.3435
23.0469,49.3336
23.0922,49.3238
23.1374,49.3139
23.1374,49.3139
23.1827,49.3040
23.2280,49.2941
23.2732,49.2841
23.2732,49.2841
23.3184,49.2742
23.3636,49.2642
23.3636,49.2642
23.4088,49.2542
23.4539,49.2441
23.4990,49.2341
23.4990,49.2341
23.5442,49.2240
23.5893,49.2140
23.6343,49.2039
23.6343,49.2039
23.6794,49.1938
23.7244,49.1836
23.7694,49.1735
23.7694,49.1735
23.8144,49.1633
23.8593,49.1531
23.9043,49.1429
23.9043,49.1429
23.9492,49.1327
23.9941,49.1224
23.9941,49.1224
24.0390,49.1122
24.0839,49.1019
24.1287,49.0916
24.1287,49.0916
24.1736,49.0812
24.2184,49.0709
24.2632,49.0605
24.2632,49.0605
24.3080,49.0501
24.3527,49.0397
24.3975,49.0293
24.3975,49.0293
24.4422,49.0189
24.4869,49.0084
24.5316,48.9979
24.5316,48.9979
24.5762,48.9874
24.6209,48.9769
24.6655,48.9664
24.6655,48.9664
24.7101,48.9558
24.7547,48.9453
24.7992,48.9347
24.7992,48.9347
24.8438,48.9241
24.8883,48.9134
24.8883,48.9134
24.9328,48.9028
24.9772,48.8921
25.0217,48.8814
25.0217,48.8814
25.0661,48.8707
25.1105,48.8600
25.1550,48.8493
25.1550,48.8493
25.1994,48.8385
25.2437,48.8277
25.2880,48.8169
25.2880,48.8169
25.3323,48.8061
25.3766,48.7953
25.4209,48.7844
25.4209,48.7844
25.4652,48.7736
25.5094,48.7627
25.5536,48.7518
25.5536,48.7518
25.5978,48.7408
25.6420,48.7299
25.6861,48.7189
25.6861,48.7189
25.7303,48.7080
25.7744,48.6970
25.8185,48.6859
25.8185,48.6859
25.8626,48.6749
25.9067,48.6638
25.9067,48.6638
25.9507,48.6528
25.9947,48.6417
26.0387,48.6306
26.0387,48.6306
26.0827,48.6194
26.1266,48.6083
26.1706,48.5971
26.1706,48.5971
26.2145,48.5859
26.2584,48.5747
26.3023,48.5635
26.3023,48.5635
26.3462,48.5522
26.3900,48.5410
26.4338,48.5297
26.4338,48.5297
26.4777,48.5184
26.5215,48.5071
26.5652,48.4958
26.5652,48.4958
26.6090,48.4844
26.6526,48.4730
26.6963,48.4617
26.6963,48.4617
26.7400,48.4502
26.7836,48.4388
26.7836,48.4388
26.8273,48.4274
26.8709,48.4159
26.9145,48.4044
26.9145,48.4044
26.9580,48.3930
